Time,Area,Round,Category
8,16.321,0.832,1
8,8.908,0.913,1
8,8.899,0.901,1
8,8.349,0.892,1
8,6.274,0.78,1
8,7.007,0.852,1
8,12.026,0.931,1
8,13.753,0.569,1
8,8.831,0.928,1
8,7.123,0.808,1
8,6.206,0.918,1
8,8.455,0.919,1
8,8.937,0.922,1
8,5.173,0.877,1
8,11.9,0.81,1
8,10.646,0.827,1
8,11.659,0.763,1
8,5.183,0.897,1
8,6.283,0.878,1
8,8.059,0.892,1
8,6.09,0.898,1
8,7.345,0.95,1
8,8.31,0.821,1
8,10.926,0.807,1
8,22.546,0.354,1
8,10.211,0.828,1
8,9.738,0.855,1
8,4.797,0.769,1
8,12.529,0.781,1
8,23.503,0.311,1
8,7.709,0.773,1
8,7.293,0.649,1
8,6.366,0.818,1
8,6.975,0.948,1
8,6.038,0.895,1
8,14.567,0.855,1
8,15.037,0.499,1
8,15.819,0.793,1
8,9.198,0.942,1
8,34.215,0.254,1
8,7.268,0.774,1
8,4.044,0.912,1
8,15.597,0.476,1
8,13.136,0.937,1
8,18,0.529,1
8,7.856,0.878,1
8,10.646,0.889,1
8,10.202,0.403,1
8,5.366,0.848,1
8,11.891,0.243,1
8,9.719,0.259,1
8,11.794,0.766,1
8,8.03,0.732,1
8,7.943,0.856,1
8,6.679,0.771,1
8,8.185,0.803,1
8,6.997,0.437,1
8,10.926,0.867,1
8,7.663,0.847,1
8,11.427,0.775,1
8,22.643,0.66,1
8,5.617,0.762,1
8,7.335,0.896,1
8,10.713,0.703,1
8,16.861,0.251,1
8,6.911,0.834,1
8,19.043,0.328,1
8,10.182,0.986,1
8,12.547,0.913,1
8,6.65,0.977,1
8,10.24,0.944,1
8,12.788,0.822,1
8,15.317,0.999,0
8,19.882,0.963,0
8,29.447,0.947,0
8,23.965,0.615,0
8,6.669,0.977,0
8,7.567,0.882,0
8,4.044,0.724,0
8,29.688,0.525,0
8,19.948,0.465,0
8,3.033,0.816,0
8,2.801,0.807,0
8,9.65,0.537,0
8,44.205,0.282,0
8,38.77,0.287,0
8,14.777,0.828,0
8,70.543,0.167,0
8,70.543,0.167,0
8,9.632,0.783,0
8,96.747,0.258,0
8,10.501,0.936,0
8,88.727,0.24,0
8,10.983,0.937,0
8,29.705,0.168,0
8,34.486,0.308,0
8,32.564,0.586,0
8,122.353,0.171,0
8,45.314,0.348,0
8,10.433,0.739,0
8,17.846,0.404,0
8,14.429,0.873,0
8,16.958,0.912,0
8,26.88,0.844,0
8,16.301,0.936,0
8,21.436,0.521,0
8,22.382,0.569,0
8,19.573,0.866,0
8,23.965,0.707,0
10,14.284,0.894,1
